,Weights_data
0,"[1.0, 0.8900136076263387, 0.2024845385080809, 0.4035907309913208]"
1,"[1.0, 0.8900136076263387, 0.2024845385080809, 0.4035907309913208]"
2,"[0.6640744172620967, 0.5540880248884354, -0.13344104422982217, 0.06766514825341766]"
3,"[0.5340061151626063, 0.42401972278894506, -0.2635093463293127, -0.06240315384607294]"
4,"[0.3929852588299835, 0.2829988664563224, -0.4045302026619354, -0.20342401017869555]"
5,"[0.3820527960149866, 0.2720664036413255, -0.4154626654769321, -0.21435647299369248]"
6,"[0.34701473923545645, 0.23702834686179503, -0.45050072225646237, -0.24939452977322266]"
7,"[0.34896531201523795, 0.2389789196415767, -0.44855014947668104, -0.24744395699344113]"
8,"[0.31867861997958274, 0.2086922276059215, -0.4788368415123362, -0.2777306490290963]"
9,"[0.33271145789936113, 0.2227250655256998, -0.4648040035925581, -0.26369781110931806]"
10,"[0.3108866137300417, 0.20090022135638014, -0.48662884776187726, -0.2855226552786373]"
11,"[0.3202758710837666, 0.21028947871010528, -0.4772395904081524, -0.27613339792491254]"
12,"[0.30862836711708175, 0.19864197474342052, -0.48888709437483735, -0.2877809018915974]"
13,"[0.3193715784901082, 0.2093851861164471, -0.47814388300181065, -0.2770376905185708]"
14,"[0.32442776683224395, 0.21444137445858258, -0.473087694659675, -0.2719815021764352]"
15,"[0.30190879976520274, 0.1919224073915416, -0.4956066617267163, -0.2945004692434764]"
16,"[0.3112350914348267, 0.20124869906116538, -0.4862803700570925, -0.28517417757385255]"
17,"[0.32711057485836875, 0.2171241824847072, -0.47040488663355046, -0.26929869415031055]"
18,"[0.2958567721413234, 0.18587037976766202, -0.5016586893505958, -0.3005524968673558]"
19,"[0.3288265660921878, 0.2188401737185268, -0.4686888953997312, -0.26758270291649117]"
20,"[0.3098727210811287, 0.19988632870746756, -0.4876427404107904, -0.2865365479275505]"
21,"[0.31441116836172484, 0.2044247759880637, -0.48310429313019426, -0.2819981006469543]"
22,"[0.3088586124224796, 0.19887222004881827, -0.4886568490694395, -0.2875506565861996]"
23,"[0.31398067602233865, 0.2039942836486776, -0.48353478546958045, -0.28242859298634054]"
24,"[0.30711081599632134, 0.19712442362266036, -0.49040464549559776, -0.28929845301235785]"
25,"[0.3103108276301743, 0.20032443525651286, -0.4872046338617448, -0.2860984413785049]"
26,"[0.31355149542698524, 0.2035651030533237, -0.48396396606493386, -0.28285777358169384]"
27,"[0.3129960400204704, 0.20300964764680926, -0.4845194214714487, -0.28341322898820875]"
28,"[0.3019968113973888, 0.19201041902372762, -0.4955186500945303, -0.2944124576112903]"
29,"[0.3072150332376216, 0.19722864086396047, -0.4903004282542975, -0.2891942357710576]"
30,"[0.3082330227875088, 0.1982466304138475, -0.4892824387044103, -0.2881762462211704]"
31,"[0.31333600090067776, 0.20334960852701653, -0.48417946059124134, -0.28307326810800143]"
32,"[0.3138909731122767, 0.2039045807386157, -0.4836244883796424, -0.2825182958964025]"
33,"[0.3012474711335095, 0.19126107875984838, -0.49626799035840957, -0.29516179787516966]"
34,"[0.3189226334664708, 0.2089362410928092, -0.4785928280254483, -0.27748663554220837]"
35,"[0.3010786325365688, 0.19109224016290735, -0.4964368289553503, -0.2953306364721104]"
36,"[0.32536855311224466, 0.21538216073858313, -0.47214690837967443, -0.2710407158964345]"
37,"[0.30618039058580543, 0.19619399821214434, -0.49133507090611367, -0.29022887842287376]"
38,"[0.3122437054158155, 0.20225731304215408, -0.4852717560761036, -0.2841655635928637]"
39,"[0.31112456993071286, 0.2011381775570517, -0.48639089156120624, -0.28528469907796633]"
40,"[0.30211713803710366, 0.19213074566344202, -0.49539832345481544, -0.2942921309715755]"
41,"[0.3177907368458981, 0.2078043444722369, -0.479724724646021, -0.2786185321627811]"
42,"[0.3178973837124249, 0.20791099133876353, -0.4796180777794942, -0.2785118852962543]"
43,"[0.29892962062170697, 0.18894322824804538, -0.4985858408702121, -0.2974796483869722]"
44,"[0.32136929770610456, 0.21138290533244364, -0.47614616378581454, -0.2750399713025746]"
45,"[0.3069181798458543, 0.196931787472193, -0.4905972816460648, -0.2894910891628249]"
46,"[0.31200705723993666, 0.20202066486627535, -0.48550840425198244, -0.28440221176874253]"
47,"[0.32537001536067073, 0.21538362298700964, -0.47214544613124837, -0.27103925364800846]"
48,"[0.3064881405284467, 0.19650174815478538, -0.4910273209634724, -0.2899211284802325]"
49,"[0.3030571855192157, 0.19307079314555417, -0.4944582759727034, -0.2933520834894635]"
50,"[0.3388766660541384, 0.22889027368047712, -0.4586387954377807, -0.2575326029545408]"
51,"[0.34566208625952644, 0.2356756938858652, -0.45185337523239266, -0.25074718274915275]"
52,"[0.35527944868061956, 0.24529305630695866, -0.44223601281129954, -0.24112982032805946]"
53,"[0.3683863569250882, 0.2583999645514271, -0.4291291045668309, -0.22802291208359124]"
54,"[0.39135052058618863, 0.28136412821252754, -0.40616494090573046, -0.20505874842249036]"
55,"[0.39529271254009024, 0.28530632016642915, -0.4022227489518289, -0.2011165564685888]"
56,"[0.4284737070131309, 0.31848731463946983, -0.3690417544787882, -0.16793556199554832]"
57,"[0.3917009026837866, 0.28171451031012557, -0.4058145588081325, -0.2047083663248927]"
58,"[0.4981244435952644, 0.38813805122160344, -0.2993910178966547, -0.09828482541341464]"
59,"[0.46113392283953103, 0.35114753046587005, -0.33638153865238807, -0.13527534616914794]"
60,"[0.47042259945203563, 0.36043620707837465, -0.3270928620398834, -0.12598666955664356]"
61,"[0.48429698684154365, 0.3743105944678826, -0.31321847465037544, -0.11211228216713533]"
62,"[0.45837967531769147, 0.34839328294403044, -0.3391357861742276, -0.13802959369098736]"
63,"[0.47008238290791704, 0.360095990534256, -0.32743307858400206, -0.12632688610076198]"
64,"[0.5382943336704699, 0.4283079412968081, -0.25922112782144996, -0.05811493533820974]"
65,"[0.5152668438179242, 0.40528045144426295, -0.2822486176739951, -0.08114242519075528]"
66,"[0.4896896283058793, 0.3797032359322182, -0.30782583318603984, -0.10671964070279946]"
67,"[0.5202677123715307, 0.41028131999786993, -0.27724774912038813, -0.07614155663714796]"
68,"[0.5049678770085255, 0.3949814846348645, -0.2925475844833936, -0.09144139200015365]"
69,"[0.49670491230747876, 0.38671851993381773, -0.30081054918444033, -0.0997043567012006]"
70,"[0.4796838315767302, 0.36969743920306913, -0.31783162991518893, -0.1167254374319488]"
71,"[0.46590989496503593, 0.3559235025913749, -0.33160556652688317, -0.13049937404364267]"
72,"[0.5086783449564549, 0.3986919525827936, -0.28883711653546446, -0.08773092405222446]"
73,"[0.5221416037550691, 0.4121552113814081, -0.27537385773684997, -0.07426766525361005]"
74,"[0.4926818901864026, 0.3826954978127416, -0.30483357130551647, -0.10372737882227659]"
