,Weights_data
0,"[1.0, 0.40848771835620035, 0.6753529802771954, 0.7934568900345197]"
1,"[1.0, 0.40848771835620035, 0.6753529802771954, 0.7934568900345197]"
2,"[0.91813358792912, 0.3266213062853204, 0.5934865682063154, 0.7115904779636397]"
3,"[1.1200159803114889, 0.5285036986676935, 0.7953689605886843, 0.9134728703460087]"
4,"[1.3416285453147934, 0.7501162636709828, 1.0169815255919783, 1.1350854353493065]"
5,"[1.5593127106620777, 0.9678004290182672, 1.2346656909392668, 1.3527696006965935]"
6,"[1.7604019567658287, 1.1688896751220375, 1.4357549370430287, 1.5538588468003514]"
7,"[1.9389959256582514, 1.3474836440144513, 1.614348905935447, 1.7324528156927712]"
8,"[2.093243857093467, 1.501731575449673, 1.7685968373706655, 1.8867007471279886]"
9,"[2.2236165156588545, 1.6321042340150598, 1.8989694959360526, 2.017073405693376]"
10,"[2.3318223971815457, 1.7403101155377507, 2.007175377458746, 2.1252792872160686]"
11,"[2.4201412778759344, 1.8286289962321391, 2.095494258153132, 2.213598167910456]"
12,"[2.4910259399837735, 1.8995136583399674, 2.1663789202609647, 2.2844828300182907]"
13,"[2.546874399976837, 1.955362118333038, 2.2222273802540324, 2.3403312900113566]"
14,"[2.5899089925660115, 1.998396710922212, 2.265261972843207, 2.3833658826005313]"
15,"[2.6221210949971856, 2.03060881335339, 2.297474075274383, 2.4155779850317067]"
16,"[2.645255018053236, 2.053742736409437, 2.3206079983304315, 2.4387119080877557]"
17,"[2.6608142413638, 2.0693019597200046, 2.336167221640997, 2.454271131398321]"
18,"[2.670079458055927, 2.0785671764121343, 2.345432438333126, 2.4635363480904493]"
19,"[2.674131964036221, 2.082619682392425, 2.3494849443134185, 2.4675888540707422]"
20,"[2.6738785405344507, 2.082366258890658, 2.34923152081165, 2.467335430568973]"
21,"[2.6700756382512894, 2.078563356607483, 2.345428618528481, 2.463532528285807]"
22,"[2.6633517100599793, 2.0718394284161796, 2.338704690337175, 2.456808600094499]"
23,"[2.6542271758661937, 2.0627148942223945, 2.3295801561433893, 2.4476840659007135]"
24,"[2.6431318819128298, 2.051619600269027, 2.3184848621900236, 2.4365887719473487]"
25,"[2.6304201317564666, 2.0389078501126603, 2.305773112033658, 2.4238770217909837]"
26,"[2.6163834786920894, 2.024871197048293, 2.291736458969287, 2.4098403687266106]"
27,"[2.601261519258375, 2.0097492376145736, 2.2766144995355693, 2.394718409292894]"
28,"[2.5852509400801367, 1.993738658436334, 2.2606039203573305, 2.3787078301146556]"
29,"[2.5685130618539036, 1.9770007802101013, 2.2438660421310974, 2.3619699518884225]"
30,"[2.5511801048473064, 1.95966782320351, 2.2265330851245038, 2.3446369948818275]"
31,"[2.5533292320523944, 1.9618169504085918, 2.228682212329588, 2.3467861220869133]"
32,"[2.5351228028167494, 1.9436105211729489, 2.210475783093944, 2.3285796928512688]"
33,"[2.516593427204086, 1.92508114556029, 2.1919464074812836, 2.3100503172386073]"
34,"[2.497799165985397, 1.9062868843416008, 2.1731521462625945, 2.291256056019918]"
35,"[2.4787876691122657, 1.8872753874684685, 2.1541406493894626, 2.2722445591467864]"
36,"[2.4595980335930987, 1.8680857519492975, 2.1349510138702925, 2.253054923627617]"
37,"[2.4402623327260233, 1.84875005108222, 2.1156153130032154, 2.233719222760541]"
38,"[2.420806873858036, 1.8292945922142374, 2.096159854135232, 2.2142637638925557]"
39,"[2.401253232220045, 1.8097409505762423, 2.076606212497237, 2.1947101222545626]"
40,"[2.3816191002738756, 1.7901068186300777, 2.056972080551073, 2.1750759903083967]"
41,"[2.36191898520579, 1.770406703561989, 2.0372719654829843, 2.1553758752403094]"
42,"[2.3421647815233064, 1.7506524998795088, 2.017517761800503, 2.135621671557827]"
43,"[2.3223662409907524, 1.7308539593469543, 1.9977192212679484, 2.1158231310252726]"
44,"[2.3025313582226357, 1.7110190765788338, 1.9778843384998284, 2.0959882482571532]"
45,"[2.282666687013732, 1.6911544053699346, 1.9580196672909285, 2.0761235770482527]"
46,"[2.2627775998079134, 1.6712653181641168, 1.9381305800851103, 2.056234489842434]"
47,"[2.242868500499807, 1.6513562188560065, 1.918221480777002, 2.0363253905343264]"
48,"[2.2229429989444776, 1.6314307173006783, 1.8982959792216743, 2.0163998889789987]"
49,"[2.203004054053166, 1.611491772409363, 1.8783570343303595, 1.9964609440876846]"
50,"[1.7384303952078604, 1.146918113564059, 1.4137833754850548, 1.5318872852423797]"
51,"[1.3909136252769487, 0.7994013436331526, 1.0662666055541472, 1.1843705153114703]"
52,"[1.143860055955853, 0.5523477743120522, 0.8192130362330488, 0.937316945990374]"
53,"[0.983099641181341, 0.39158735953754326, 0.6584526214585383, 0.7765565312158619]"
54,"[0.8588823106858886, 0.2673700290420876, 0.5342352909630815, 0.6523392007204071]"
55,"[0.7859725380507802, 0.19446025640698053, 0.4613255183279758, 0.5794294280852996]"
56,"[0.7280043439517873, 0.1364920623079898, 0.403357324228985, 0.5214612339863084]"
57,"[0.6917350554056063, 0.1002227737618091, 0.3670880356828043, 0.48519194544012806]"
58,"[0.6721407154738404, 0.0806284338300422, 0.34749369575103606, 0.46559760550835977]"
59,"[0.6541882273602435, 0.06267594571644614, 0.3295412076374403, 0.447645117394764]"
60,"[0.6469891287294989, 0.05547684708569837, 0.3223421090066932, 0.44044601876401746]"
61,"[0.648340723882755, 0.05682844223895531, 0.3236937041599502, 0.4417976139172744]"
62,"[0.6350791566243239, 0.043566874980526256, 0.3104321369015201, 0.42853604665884376]"
63,"[0.6385136489645094, 0.0470013673207093, 0.3138666292417043, 0.4319705389990285]"
64,"[0.6361497352670951, 0.044637453623295596, 0.3115027155442902, 0.4296066253016144]"
65,"[0.6169854272782745, 0.025473145634474476, 0.2923384075554698, 0.410442317312794]"
66,"[0.591047220507836, -0.0004650611359619146, 0.26640020078503224, 0.38450411054235584]"
67,"[0.5681067028508454, -0.023405578792954324, 0.24345968312804053, 0.36156359288536477]"
68,"[0.547588206892176, -0.04392407475162141, 0.22294118716937247, 0.34104509692669616]"
69,"[0.5290304475886906, -0.062481834055111346, 0.20438342786588418, 0.3224873376232089]"
70,"[0.5120625814514939, -0.07944970019230509, 0.18741556172868917, 0.3055194714860132]"
71,"[0.4963856480385455, -0.09512663360525653, 0.17173862831573902, 0.2898425380730637]"
72,"[0.48175807583610286, -0.10975420580769876, 0.15711105611329584, 0.27521496587062044]"
73,"[0.4679842864942965, -0.12352799514950422, 0.14333726677149017, 0.2614411765288147]"
74,"[0.45490568206911325, -0.13660659957468801, 0.13025866234630806, 0.24836257210363194]"
75,"[0.44239348016460645, -0.14911880147919648, 0.1177464604417999, 0.23585037019912472]"
76,"[0.4303429927244357, -0.1611692889193633, 0.10569597300163244, 0.22379988275895632]"
